File	Segment	Position	Code1	Code2	Seg_Start	Seg_End	Word	Word_Start	Word_End	Pre_Seg	Pre_Seg_Start	Pre_Seg_End	Post_Seg	Post_Seg_Start	Post_Seg_End	Window	Vowels_per_Second	Comments	Warnings																																		
Bill_m53_BB2015	T	End	g		15.302	15.352	THAT	15.223	15.352	AH	15.252	15.302	AH	15.352	15.382	0.951	7.361																																				
Bill_m53_BB2015	T	End	g		16.035	16.085	RIGHT	15.814	16.085	AY	15.874	16.035	OW	16.085	16.165	0.881	4.54																																				
Bill_m53_BB2015	T	Internal	t	b	1807.429	1807.519	APPRECIATED	1806.949	1807.57	EY	1807.369	1807.429	AH	1807.519	1807.55	1.64	7.927																																				
Bill_m53_BB2015	T	End	g		28.401	28.552	IT	28.292	28.552	IH	28.292	28.401	IH	28.552	28.801	1.798	4.449																																				
Bill_m53_BB2015	T	End	f		30.821	30.852	BUT	30.752	30.852	AH	30.772	30.821	AH	30.852	30.882	1.231	7.311																																				
Bill_m53_BB2015	T	Internal	t	b	714.301	714.421	AUTHORITY	713.982	714.451	AH	714.271	714.301	IY	714.421	714.451	1.371	6.565																																				
Bill_m53_BB2015	T	Internal	t	b	2828.437	2828.597	BATTY	2828.227	2828.737	AE	2828.357	2828.437	IY	2828.597	2828.737	2.024	1.976																																				
Bill_m53_BB2015	T	Internal	t	b	334.985	335.025	BEAUTIFUL	334.785	335.324	UW	334.865	334.985	AH	335.025	335.064	1.387	5.047																																				
Bill_m53_BB2015	T	End	g		54.277	54.306	GOT	54.227	54.306	AA	54.246	54.277	AH	54.306	54.337	0.989	8.089																																				
Bill_m53_BB2015	T	Internal	t	b	360.383	360.492	BEAUTIFUL	360.162	360.782	UW	360.262	360.383	AH	360.492	360.522	1.9	3.684																																				
Bill_m53_BB2015	T	End	0		96.558	96.629	IT	96.528	96.629	AH	96.528	96.558	AO	96.629	96.678	0.911	7.684																																				
Bill_m53_BB2015	T	End	g		124.491	124.522	RIGHT	124.371	124.522	AY	124.421	124.491	OW	124.522	124.761	1.159	5.177																																				
Bill_m53_BB2015	T	End	g		161.4	161.43	ALRIGHT	160.99	161.43	AY	161.13	161.4	IH	161.43	161.511	1.989	4.022																																				
Bill_m53_BB2015	T	End	f		164.267	164.297	GOT	164.217	164.297	AA	164.237	164.267	AH	164.297	164.328	1.14	7.018																																				
Bill_m53_BB2015	T	End	t		164.558	164.648	FLAT	164.328	164.648	AE	164.497	164.558	AH	164.648	164.688	1.519	3.95							164.267	164.297	GOT	164.217	164.297	AA	164.237	164.267	AH	164.297	164.328	1.14	7.018																	
Bill_m53_BB2015	T	End	t		164.558	164.648	FLAT	164.328	164.648	AE	164.497	164.558	AH	164.648	164.688	1.519	3.95																																				
Bill_m53_BB2015	T	End	t		169.997	170.106	FLAT	169.757	170.106	AE	169.946	169.997	IH	170.106	170.167	1.13	7.08																																				
Bill_m53_BB2015	T	End	g		175.052	175.082	BUT	174.872	175.082	AH	174.922	175.052	IH	175.082	175.122	1.045	3.828																																				
Bill_m53_BB2015	T	End	g		179.366	179.396	CONSIDERATE	178.917	179.396	AH	179.336	179.366	AH	179.396	179.427	1.324	6.798																																				
Bill_m53_BB2015	T	End	g		183.256	183.287	IT	183.227	183.287	IH	183.227	183.256	AY	183.287	183.357	1.279	7.037																																				
Bill_m53_BB2015	T	End	g		190.259	190.299	LIGHT	190.029	190.299	AY	190.099	190.259	AE	190.299	190.339	1.302	4.608																																				
Bill_m53_BB2015	T	Internal	t	b	370.084	370.154	BEAUTIFUL	369.924	370.304	UW	369.994	370.084	AH	370.154	370.184	3.852	2.077																																				
Bill_m53_BB2015	T	End	t		194.576	194.746	BUT	194.396	194.746	AH	194.436	194.576	AH	194.746	194.906	1.802	2.775																																				
Bill_m53_BB2015	T	Internal	t	b	392.679	392.788	BEAUTIFUL	392.518	392.988	UW	392.578	392.679	AH	392.788	392.818	1.451	6.203																																				
Bill_m53_BB2015	T	Internal	g	b	415.076	415.106	BEAUTIFUL	414.956	415.315	UW	415.006	415.076	AH	415.106	415.136	1.427	4.205																																				
Bill_m53_BB2015	T	Internal	g	b	2629.678	2629.708	BEAUTIFUL	2629.388	2629.977	UW	2629.607	2629.678	AH	2629.708	2629.737	1.671	4.788																																				
Bill_m53_BB2015	T	Internal	g	m	1708.647	1708.676	BRIGHTON	1708.447	1708.756	AY	1708.567	1708.647	AH	1708.676	1708.727	1.319	6.065																																				
Bill_m53_BB2015	T	End	g		214.845	214.875	LOT	214.725	214.875	AA	214.755	214.845	AH	214.875	214.955	1.36	6.618																																				
Bill_m53_BB2015	T	End	g		236.1	236.13	GOT	235.99	236.13	AA	236.05	236.1	AE	236.13	236.221	1.132	5.3																																				
Bill_m53_BB2015	T	End	g		238.053	238.083	ABOUT	237.902	238.083	AW	237.972	238.053	AE	238.083	238.122	1.32	6.818																																				
Bill_m53_BB2015	T	End	t		261.301	261.481	BUT	261.14	261.481	AH	261.16	261.301	AH	261.481	261.87	1.694	1.771																																				
Bill_m53_BB2015	T	End	t		264.401	264.431	BUT	264.301	264.431	AH	264.36	264.401	EH	264.431	264.461	1.179	8.482																			Bill_m53_BB2015	T	End	g		266.315	266.346	THAT	266.256	266.346	AH	266.285	266.315	OW	266.346	266.445	1.44	5.556
Bill_m53_BB2015	T	End	g		280.524	280.563	ABOUT	280.314	280.563	AW	280.363	280.524	AH	280.563	280.593	0.8	11.25																																				
Bill_m53_BB2015	T	End	t		288.617	288.847	BUT	288.317	288.847	AH	288.408	288.617	AH	288.847	289.077	3.292	1.215																																				
Bill_m53_BB2015	T	End	g		302.378	302.478	OUT	302.148	302.478	AW	302.148	302.378	AH	302.478	302.528	1.391	5.032																																				
Bill_m53_BB2015	T	Internal	g	m	2661.012	2661.042	BRIGHTON	2660.812	2661.102	AY	2660.943	2661.012	AH	2661.042	2661.072	1.19	6.723																																				
