File	Segment	Position	Code1	Code2	Seg_Start	Seg_End	Word	Word_Start	Word_End	Pre_Seg	Pre_Seg_Start	Pre_Seg_End	Post_Seg	Post_Seg_Start	Post_Seg_End	Window	Vowels_per_Second	Comments	Warnings
Brian_m49_BB2015	T	End	f		13.963	14.003	BUT	13.852	14.003	AH	13.932	13.963	AY	14.003	14.053	1.641	3.656		
Brian_m49_BB2015	T	End	t		40.396	40.477	BOUGHT	40.207	40.477	AO	40.276	40.396	AH	40.477	40.506	0.839	8.343		
Brian_m49_BB2015	T	End	g		44.442	44.482	AT	44.402	44.482	AH	44.402	44.442	EH	44.482	44.562	1.011	7.913		
Brian_m49_BB2015	T	End	t		57.803	57.833	AT	57.763	57.833	AH	57.763	57.803	AO	57.833	57.862	1.608	2.488		
Brian_m49_BB2015	T	End	g		61.58	61.61	OUT	61.47	61.61	AW	61.47	61.58	AH	61.61	61.65	0.815	6.135		
Brian_m49_BB2015	T	Internal	t		101.429	101.499	INFLATABLE	101.129	101.669	EY	101.36	101.429	AH	101.499	101.529	1.995	3.509		
Brian_m49_BB2015	T	End	g		105.014	105.064	TOILET	104.824	105.064	AH	104.984	105.014	OW	105.064	105.094	1.201	5.828		
Brian_m49_BB2015	T	End	f		130.406	130.437	PUT	130.346	130.437	UH	130.376	130.406	AH	130.437	130.477	0.98	7.143	d?	
Brian_m49_BB2015	T	End	g		133.784	133.814	IT	133.734	133.814	IH	133.734	133.784	IH	133.814	133.904	1.37	5.839		
Brian_m49_BB2015	T	Internal	t		136.295	136.395	AUTOMATICALLY	136.205	136.835	AO	136.205	136.295	AH	136.395	136.435	1.83	6.557		
Brian_m49_BB2015	T	Internal	t		136.585	136.665	AUTOMATICALLY	136.205	136.835	AE	136.555	136.585	IH	136.665	136.695	1.83	6.557		
Brian_m49_BB2015	T	End	f		140.703	140.733	PUT	140.602	140.733	UH	140.662	140.703	AH	140.733	140.762	0.791	11.378		
Brian_m49_BB2015	T	End	0		200.42	200.45	THAT	200.359	200.45	AH	200.389	200.42	AH	200.45	200.519	1.831	3.823		
Brian_m49_BB2015	T	Internal	t		227.263	227.362	HOTELS	227.013	227.952	OW	227.192	227.263	EH	227.362	227.432	3.279	2.135		
Brian_m49_BB2015	T	Internal	t		228.393	228.503	((WAITING))	228.213	228.573	EY	228.333	228.393	IH	228.503	228.533	2.951	2.711		
Brian_m49_BB2015	T	Internal	t		229.723	229.812	HOTEL	229.583	229.913	OW	229.653	229.723	EH	229.812	229.843	0.919	8.705		
Brian_m49_BB2015	T	Internal	d		251.896	251.946	GOTTA	251.747	252.146	AA	251.817	251.896	AH	251.946	252.146	1.279	4.691		
Brian_m49_BB2015	T	End	g		256.149	256.179	MIGHT	256.01	256.179	AY	256.039	256.149	AH	256.179	256.209	0.879	6.826		
Brian_m49_BB2015	T	Internal	t		261.607	261.707	HEATING	261.447	261.797	IY	261.497	261.607	AH	261.707	261.747	1.851	4.322		
Brian_m49_BB2015	T	End	g		278.114	278.144	GOT	277.894	278.144	AA	277.954	278.114	AH	278.144	278.174	1.189	5.887		
Brian_m49_BB2015	T	End	d		367.142	367.182	GET	367.062	367.182	IH	367.092	367.142	AA	367.182	367.313	1	7		
Brian_m49_BB2015	T	Internal	d		416.386	416.457	GOTTA	416.286	416.487	AA	416.336	416.386	AH	416.457	416.487	3.386	3.249		
Brian_m49_BB2015	T	End	g		428.396	428.436	THOUGHT	428.196	428.436	AO	428.356	428.396	AY	428.436	428.496	1.59	3.145		
Brian_m49_BB2015	T	End	g		428.975	429.005	NOT	428.815	429.005	AO	428.866	428.975	IH	429.005	429.136	1.329	5.267		
Brian_m49_BB2015	T	End	t		433.483	433.603	IT	433.453	433.603	AH	433.453	433.483	IH	433.603	433.703	1.29	6.977		
Brian_m49_BB2015	T	End	g		476.549	476.649	BUT	476.359	476.649	AH	476.48	476.549	IH	476.649	476.68	1.799	3.335		
Brian_m49_BB2015	T	End	0		492.728	492.759	RIGHT	492.379	492.759	AY	492.509	492.728	OW	492.759	492.829	6.708	0.596		
Brian_m49_BB2015	T	Internal	d		531.398	531.428	GETTING	531.339	531.528	IH	531.359	531.398	IH	531.428	531.478	1.2	7.5		
Brian_m49_BB2015	T	End	d		543.926	543.956	BUT	543.877	543.956	AH	543.896	543.926	IH	543.956	543.986	1.431	4.892		
Brian_m49_BB2015	T	End	g		546.167	546.197	LOT	546.026	546.197	AA	546.106	546.167	AH	546.197	546.236	1.27	5.512		
Brian_m49_BB2015	T	End	g		554.316	554.356	IT	554.256	554.356	IH	554.256	554.316	AE	554.356	554.466	1.03	6.796		
Brian_m49_BB2015	T	Internal	d		658.573	658.602	PUTTING	658.473	658.683	UH	658.533	658.573	AH	658.602	658.633	0.92	7.609		
Brian_m49_BB2015	T	End	g		658.732	658.763	IT	658.683	658.763	AH	658.683	658.732	AA	658.763	658.892	1.159	6.903		
Brian_m49_BB2015	T	End	0		793.941	793.97	ABOUT	793.521	793.97	AW	793.68	793.941	AH	793.97	794.421	2.277	3.074	possibly g	
Brian_m49_BB2015	T	Internal	f		807.761	807.79	LITTLE	807.701	807.87	IH	807.731	807.761	AH	807.79	807.84	0.989	6.067		
Brian_m49_BB2015	T	End	g		809.158	809.198	BIT	809.068	809.198	IH	809.118	809.158	AH	809.198	809.227	1.237	6.467		
Brian_m49_BB2015	T	Internal	t		815.648	815.688	((LITTLE))	815.578	815.748	IH	815.608	815.648	AH	815.688	815.718	1.139	5.268	sounds more like a velar?	
Brian_m49_BB2015	T	End	f		815.888	816.069	((BIT))	815.748	816.069	IH	815.848	815.888	AH	816.069	816.099	1.582	3.161		
Brian_m49_BB2015	T	Internal	f		820.917	820.958	GETTING	820.857	821.018	IH	820.878	820.917	IH	820.958	820.987	1.209	6.617		
Brian_m49_BB2015	T	Internal	t		821.368	821.457	RETIRE	821.297	821.628	IY	821.327	821.368	AY	821.457	821.597	1.417	5.646		
Brian_m49_BB2015	T	End	f		869.432	869.482	IT	869.272	869.482	IH	869.272	869.432	AH	869.482	869.512	1.669	4.793		
