File	Segment	Position	Code1	Code2	Seg_Start	Seg_End	Word	Word_Start	Word_End	Pre_Seg	Pre_Seg_Start	Pre_Seg_End	Post_Seg	Post_Seg_Start	Post_Seg_End	Window	Vowels_per_Second	Comments	Warnings
DaveN_m51_BB2015	T	End	g		946.968	947.128	THAT	946.898	947.128	AH	946.938	946.968	AO	947.128	947.267	1.434	3.487	g	very ambiguous between glottal and flap
DaveN_m51_BB2015	T	End	d		947.367	947.397	IT	947.337	947.397	AH	947.337	947.367	AH	947.397	947.437	4.266	1.172	g	
DaveN_m51_BB2015	T	End	d		979.703	979.733	WHAT	979.603	979.733	AH	979.673	979.703	IH	979.733	979.763	1.34	7.463	d	
DaveN_m51_BB2015	T	End	g		979.763	979.793	IT	979.733	979.793	IH	979.733	979.763	IH	979.793	979.923	1.35	6.667	g	
DaveN_m51_BB2015	T	End	g		980.233	980.293	RIGHT	980.043	980.293	AY	980.083	980.233	IH	980.293	980.392	1.34	4.478	g	
DaveN_m51_BB2015	T	End	d		986.928	986.958	IT	986.898	986.958	AH	986.898	986.928	IH	986.958	987.037	1.215	3.292	d	
DaveN_m51_BB2015	T	End	d		999.577	999.607	PUT	999.467	999.607	UH	999.537	999.577	AH	999.607	999.637	1.34	4.478	d	
DaveN_m51_BB2015	T	End	d		1000.307	1000.337	PUT	1000.208	1000.337	UH	1000.267	1000.307	AH	1000.337	1000.397	1.321	3.785	d	
DaveN_m51_BB2015	T	End	g		1021.953	1021.982	OUT	1021.873	1021.982	AW	1021.873	1021.953	AH	1021.982	1022.013	1.12	6.25	g	
DaveN_m51_BB2015	T	End	g		1027.503	1027.533	PUT	1027.342	1027.533	UH	1027.423	1027.503	AH	1027.533	1027.563	1.764	3.968		
DaveN_m51_BB2015	T	End	g		1029.583	1029.693	IT	1029.553	1029.693	AH	1029.553	1029.583	AO	1029.693	1029.763	1.4	4.286		
DaveN_m51_BB2015	T	End	g		1031.523	1031.553	IT	1031.473	1031.553	IH	1031.473	1031.523	AY	1031.553	1031.623	1.181	7.621		
DaveN_m51_BB2015	T	Internal	t	m	2842.08	2842.17	ATTITUDE	2841.999	2842.539	AE	2841.999	2842.08	AH	2842.17	2842.2	1.669	4.194		
DaveN_m51_BB2015	T	Internal	t	b	2823.109	2823.16	BABYSITTING	2822.719	2823.269	IH	2823.04	2823.109	AH	2823.16	2823.2	1.67	5.988		
DaveN_m51_BB2015	T	End	g		1066.052	1066.083	THAT	1065.993	1066.083	AH	1066.023	1066.052	AY	1066.083	1066.143	1.33	6.767		
DaveN_m51_BB2015	T	Internal	t	b	2834.949	2834.998	BABYSITTING	2834.639	2835.058	IH	2834.888	2834.949	AH	2834.998	2835.028	1.05	7.619		
DaveN_m51_BB2015	T	End	g		1068.912	1068.943	IT	1068.882	1068.943	IH	1068.882	1068.912	AW	1068.943	1068.993	1.06	7.547		
DaveN_m51_BB2015	T	End	g		1088.513	1088.633	IT	1088.473	1088.633	IH	1088.473	1088.513	AO	1088.633	1088.822	0.989	4.044		
DaveN_m51_BB2015	T	End	g		1128.478	1128.538	GET	1128.328	1128.538	EH	1128.378	1128.478	OW	1128.538	1128.758	1.415	4.24		
DaveN_m51_BB2015	T	End	d		1237.783	1237.823	GET	1237.663	1237.823	IH	1237.713	1237.783	IH	1237.823	1237.903	0.8	7.5		
DaveN_m51_BB2015	T	End	d		1238.413	1238.463	GET	1238.323	1238.463	IH	1238.343	1238.413	IH	1238.463	1238.512	0.85	8.235		
DaveN_m51_BB2015	T	End	g		1282.352	1282.382	NOT	1282.282	1282.382	AO	1282.312	1282.352	AH	1282.382	1282.412	0.92	7.609		
DaveN_m51_BB2015	T	Internal	t	b	3974.184	3974.323	BATTY	3973.944	3974.493	AE	3974.054	3974.184	IY	3974.323	3974.493	1.644	1.217		
DaveN_m51_BB2015	T	End	g		1340.898	1340.948	MET	1340.807	1340.948	EH	1340.848	1340.898	AH	1340.948	1340.978	0.859	9.313		
DaveN_m51_BB2015	T	End	d		1376.188	1376.218	GOT	1376.107	1376.218	AA	1376.137	1376.188	AH	1376.218	1376.247	1.55	4.516		
DaveN_m51_BB2015	T	End	d		1391.47	1391.5	GOT	1391.401	1391.5	AA	1391.431	1391.47	AH	1391.5	1391.531	4.743	1.476		
DaveN_m51_BB2015	T	Internal	g	m	1317.382	1317.463	BUTTON	1317.273	1317.532	AH	1317.332	1317.382	AH	1317.463	1317.493	1.34	8.209		
DaveN_m51_BB2015	T	Internal	g	m	3845.694	3845.723	BUTTON	3845.634	3845.824	AH	3845.664	3845.694	AH	3845.723	3845.754	4.849	1.031		
DaveN_m51_BB2015	T	End	g		1476.615	1476.645	GOT	1476.444	1476.645	AA	1476.484	1476.615	AH	1476.645	1476.674	1.22	7.377		
DaveN_m51_BB2015	T	End	g		1480.246	1480.275	GOT	1480.155	1480.275	AA	1480.215	1480.246	AH	1480.275	1480.305	1.219	8.203		
DaveN_m51_BB2015	T	Internal	t	b	2321.227	2321.327	CRITICAL	2321.097	2321.477	IH	2321.197	2321.227	IH	2321.327	2321.356	1.25	6.4		
DaveN_m51_BB2015	T	End	t		1487.365	1487.465	FLAT	1487.235	1487.465	AE	1487.325	1487.365	AW	1487.465	1487.525	0.909	8.801		
DaveN_m51_BB2015	T	Internal	t	b	3530.365	3530.466	CUTTING	3530.285	3530.545	AH	3530.335	3530.365	AH	3530.466	3530.515	1.389	3.6		
DaveN_m51_BB2015	T	Internal	t	b	2013.202	2013.312	EIGHTEEN	2013.072	2013.452	EY	2013.072	2013.202	IY	2013.312	2013.402	1.781	5.053		
DaveN_m51_BB2015	T	Internal	t	b	1481.016	1481.046	EIGHTY	1480.925	1481.085	EY	1480.925	1481.016	IY	1481.046	1481.085	1.01	7.921		
DaveN_m51_BB2015	T	Internal	t	b	2439.526	2439.695	EIGHTY	2439.406	2439.746	EY	2439.406	2439.526	IY	2439.695	2439.746	14.206	0.282		
DaveN_m51_BB2015	T	End	g		1518.782	1518.812	GET	1518.692	1518.812	EH	1518.712	1518.782	IH	1518.812	1518.852	1.337	3.74		
DaveN_m51_BB2015	T	End	d		1521.905	1521.935	WHAT	1521.735	1521.935	AH	1521.875	1521.905	AH	1521.935	1521.965	1.159	5.177		
DaveN_m51_BB2015	T	End	t		1561.593	1561.692	REGRET	1561.372	1561.692	EH	1561.522	1561.593	AO	1561.692	1561.772	1.091	7.333		
DaveN_m51_BB2015	T	End	g		1561.922	1562.042	THAT	1561.853	1562.042	AE	1561.883	1561.922	AH	1562.042	1562.072	1.1	6.364		
DaveN_m51_BB2015	T	End	d		1562.623	1562.653	GOT	1562.522	1562.653	AA	1562.583	1562.623	OW	1562.653	1562.843	1.556	3.213		
DaveN_m51_BB2015	T	End	d		1564.427	1564.457	GOT	1564.268	1564.457	AA	1564.347	1564.427	IH	1564.457	1564.488	1.189	6.728		
DaveN_m51_BB2015	T	End	g		1574.951	1575.151	OUT	1574.861	1575.151	AW	1574.861	1574.951	AA	1575.151	1575.221	1.449	5.521		
DaveN_m51_BB2015	T	Internal		b	3109.24	3109.299	EIGHTY	3109.05	3109.34	EY	3109.05	3109.24	IY	3109.299	3109.34	1.219	5.742		
DaveN_m51_BB2015	T	End	t		1582.262	1582.342	AT	1582.201	1582.342	AH	1582.201	1582.262	AO	1582.342	1582.402	1.671	4.189		
DaveN_m51_BB2015	T	End	d		1585.451	1585.481	WHAT	1585.381	1585.481	AH	1585.421	1585.451	AY	1585.481	1585.551	0.749	9.346		
