File	Segment	Position	Code1	Code2	Seg_Start	Seg_End	Word	Word_Start	Word_End	Pre_Seg	Pre_Seg_Start	Pre_Seg_End	Post_Seg	Post_Seg_Start	Post_Seg_End	Window	Vowels_per_Second	Comments	Warnings
Harry_m61_BB2015	T	End	f		25.205	25.236	BUT	25.096	25.236	AH	25.166	25.205	AH	25.236	25.266	1.922	2.601		
Harry_m61_BB2015	T	End	t		56.576	56.687	VISIT	56.356	56.687	AH	56.536	56.576	AH	56.687	56.736	1.335	4.494		
Harry_m61_BB2015	T	End	f		72.49	72.55	IT	72.39	72.55	AH	72.39	72.49	AO	72.55	72.67	1.238	2.423		
Harry_m61_BB2015	T	End	f		73.445	73.525	IT	73.256	73.525	IH	73.256	73.445	IH	73.525	73.725	1.286	3.888		
Harry_m61_BB2015	T	End	t		73.725	73.826	IT	73.525	73.826	IH	73.525	73.725	AH	73.826	73.855	1.399	4.289		
Harry_m61_BB2015	T	End	t		81.132	81.161	GOT	81.082	81.161	AA	81.102	81.132	AH	81.161	81.192	7.086	0.988		
Harry_m61_BB2015	T	End	g		148.18	148.21	THAT	147.979	148.21	AE	148.08	148.18	OW	148.21	148.3	3.873	1.033		
Harry_m61_BB2015	T	Internal	f		174.572	174.613	PROTESTANT	174.403	174.843	AA	174.522	174.572	AH	174.613	174.643	1.428	4.902		
Harry_m61_BB2015	T	End	r		182.328	182.358	BIT	182.258	182.358	IH	182.298	182.328	AH	182.358	182.388	2.546	1.964	"I think this is a t-to-r example, so I coded as /r/"	
Harry_m61_BB2015	T	Internal	t		188.662	188.712	UNIVERSITY	188.142	188.793	AH	188.632	188.662	IY	188.712	188.793	1.701	5.879		
Harry_m61_BB2015	T	End	f		237.09	237.12	GET	237.011	237.12	IH	237.041	237.09	AH	237.12	237.15	0.939	8.52		
Harry_m61_BB2015	T	End	f		238.518	238.548	GET	238.437	238.548	IH	238.468	238.518	AH	238.548	238.588	1.527	3.929		
Harry_m61_BB2015	T	End	f		246.373	246.404	GET	246.274	246.404	IH	246.344	246.373	AH	246.404	246.433	1.039	7.7		
Harry_m61_BB2015	T	End	t		273.376	273.477	LOT	273.216	273.477	AA	273.296	273.376	OW	273.477	273.646	9.675	0.724		
Harry_m61_BB2015	T	End	f		288.973	289.003	IT	288.944	289.003	IH	288.944	288.973	IH	289.003	289.103	1.009	5.946		
Harry_m61_BB2015	T	Internal	g		293.807	293.868	STRAIGHTEN	293.507	293.937	EY	293.657	293.807	AH	293.868	293.897	1.069	8.419		
Harry_m61_BB2015	T	Internal	g		294.488	294.567	STRAIGHTEN	294.217	294.687	EY	294.337	294.488	AH	294.567	294.657	0.9	7.778		
Harry_m61_BB2015	T	Internal	g		295.799	295.829	STRAIGHTENED	295.52	295.909	EY	295.679	295.799	AH	295.829	295.86	0.92	7.609		
Harry_m61_BB2015	T	End	t		301.777	301.867	QUITE	301.497	301.867	AY	301.647	301.777	AH	301.867	301.908	1.22	5.738		
Harry_m61_BB2015	T	Internal	t		314.534	314.615	PARACETAMOL	314.124	314.874	IY	314.425	314.534	AH	314.615	314.655	6.271	1.595		
Harry_m61_BB2015	T	Internal	f		338.737	338.767	WAITING	338.607	338.827	EY	338.708	338.737	IH	338.767	338.797	1.611	5.587		
Harry_m61_BB2015	T	Internal	t		341.846	341.876	HOSPITAL	341.537	341.936	IH	341.777	341.846	AH	341.876	341.906	1.101	8.174		
Harry_m61_BB2015	T	End	t		370.283	370.353	SAT	370.163	370.353	AE	370.232	370.283	AA	370.353	370.402	0.899	6.674		
Harry_m61_BB2015	T	Internal	f		372.348	372.479	WAITING	372.239	372.538	EY	372.288	372.348	IH	372.479	372.508	1.31	6.107		
Harry_m61_BB2015	T	End	t		380.67	380.7	IT	380.64	380.7	AH	380.64	380.67	AH	380.7	380.74	1.09	6.422		
Harry_m61_BB2015	T	End	g		380.9	380.95	BIT	380.74	380.95	IH	380.801	380.9	AW	380.95	381.11	1.29	5.426		
Harry_m61_BB2015	T	End	t		381.11	381.16	OUT	380.95	381.16	AW	380.95	381.11	AH	381.16	381.19	0.981	6.116		
Harry_m61_BB2015	T	Internal	f		396.595	396.645	THAT'LL	396.425	396.735	AE	396.525	396.595	AH	396.645	396.685	1.507	3.981		
Harry_m61_BB2015	T	Internal	g		397.094	397.124	STRAIGHTEN	396.735	397.225	EY	396.885	397.094	AH	397.124	397.184	1.356	4.425		
Harry_m61_BB2015	T	Internal	t		414.081	414.151	WAITING	413.961	414.211	EY	414.031	414.081	IH	414.151	414.181	1.081	7.401		
Harry_m61_BB2015	T	End	f		421.287	421.318	GET	421.177	421.318	IH	421.257	421.287	AH	421.318	421.347	1.209	5.79		
Harry_m61_BB2015	T	Internal	t		442.423	442.453	NOTICE	442.203	442.573	OW	442.243	442.423	AH	442.453	442.483	1.029	7.775		
Harry_m61_BB2015	T	End	f		443.093	443.124	THOUGHT	442.973	443.124	AO	443.053	443.093	AY	443.124	443.154	0.89	8.989		
Harry_m61_BB2015	T	End	f		445.276	445.307	WHAT	445.127	445.307	AH	445.246	445.276	AY	445.307	445.356	0.839	8.343		
Harry_m61_BB2015	T	End	f		463.993	464.053	IT	463.802	464.053	AH	463.802	463.993	IH	464.053	464.212	1.823	2.743		
Harry_m61_BB2015	T	End	t		465.956	466.056	BUT	465.746	466.056	AH	465.766	465.956	AH	466.056	466.105	2.152	3.253		
Harry_m61_BB2015	T	End	f		470.006	470.036	PUT	469.826	470.036	UH	469.956	470.006	IH	470.036	470.185	0.882	4.535		
Harry_m61_BB2015	T	End	g		472.585	472.814	THAT	472.475	472.814	AE	472.525	472.585	AH	472.814	472.934	4.651	0.86		
Harry_m61_BB2015	T	End	t		487.423	487.543	BRIGHT	486.954	487.543	AY	487.273	487.423	AH	487.543	487.633	1.67	3.593		
Harry_m61_BB2015	T	End	f		494.898	494.948	BUT	494.848	494.948	AH	494.868	494.898	AH	494.948	494.978	1.47	4.762		
Harry_m61_BB2015	T	End	t		496.517	496.627	RIGHT	496.327	496.627	AY	496.398	496.517	IH	496.627	496.737	1.51	3.974		
Harry_m61_BB2015	T	End	t		497.368	497.458	RIGHT	497.158	497.458	AY	497.218	497.368	IH	497.458	497.568	1.548	2.584		
Harry_m61_BB2015	T	End	f		498.924	498.954	BIT	498.844	498.954	IH	498.894	498.924	AH	498.954	498.985	0.619	9.693		
Harry_m61_BB2015	T	End	f		526.864	526.894	GOT	526.793	526.894	AA	526.814	526.864	AH	526.894	526.944	0.954	5.241		
Harry_m61_BB2015	T	Internal	t		529.039	529.13	SUITED	528.87	529.199	UW	528.929	529.039	AH	529.13	529.17	1.14	6.14		
Harry_m61_BB2015	T	End	f		531.134	531.174	GET	531.004	531.174	EH	531.044	531.134	IH	531.174	531.254	0.624	9.615		
Harry_m61_BB2015	T	End	t		539.6	539.66	IT	539.44	539.66	IH	539.44	539.6	AH	539.66	539.779	1.68	2.381		
