File	Segment	Position	Code1	Code2	Seg_Start	Seg_End	Word	Word_Start	Word_End	Pre_Seg	Pre_Seg_Start	Pre_Seg_End	Post_Seg	Post_Seg_Start	Post_Seg_End	Window	Vowels_per_Second	Comments	Warnings
Hermione_f34_BB2015	T	Internal	f		26.859	26.889	PRETTY	26.718	26.919	IH	26.829	26.859	IY	26.889	26.919	1.459	3.427		
Hermione_f34_BB2015	T	End	g		35.946	35.976	RIGHT	35.795	35.976	AY	35.855	35.946	AA	35.976	36.006	3.283	1.218		
Hermione_f34_BB2015	T	End	t		72.597	72.697	QUITE	72.477	72.697	AY	72.547	72.597	AH	72.697	72.727	1.05	6.667		
Hermione_f34_BB2015	T	Internal	f		88.635	88.665	PRETTY	88.524	88.695	IH	88.604	88.635	IY	88.665	88.695	1.101	4.541		
Hermione_f34_BB2015	T	Internal	t		102.705	102.835	FACILITIES	102.175	102.935	AH	102.665	102.705	IY	102.835	102.896	2.055	4.866		
Hermione_f34_BB2015	T	End	g		105.794	105.823	THAT	105.734	105.823	AH	105.763	105.794	AH	105.823	105.853	1.04	5.769		
Hermione_f34_BB2015	T	End	g		119.045	119.095	LOT	118.866	119.095	AA	118.925	119.045	AH	119.095	119.125	1.541	5.191		
Hermione_f34_BB2015	T	End	g		120.506	120.536	OUT	120.385	120.536	AW	120.385	120.506	AH	120.536	120.566	1.711	5.845		
Hermione_f34_BB2015	T	Internal	t		124.859	124.969	FACILITIES	124.409	125.25	AH	124.81	124.859	IY	124.969	125.08	1.383	7.231		
Hermione_f34_BB2015	T	Internal	g		126.644	126.674	GETTING	126.554	126.764	EH	126.584	126.644	IH	126.674	126.704	0.969	7.224		
Hermione_f34_BB2015	T	End	g		143.429	143.459	WHAT	143.308	143.459	AH	143.398	143.429	IH	143.459	143.488	2.04	2.451		
Hermione_f34_BB2015	T	Internal	t		166.623	166.762	GENETICALLY	166.372	167.152	EH	166.573	166.623	IH	166.762	166.832	1.646	4.253		
Hermione_f34_BB2015	T	End	g		169.783	169.813	THAT	169.713	169.813	AH	169.753	169.783	EH	169.813	169.873	1.779	6.183		
Hermione_f34_BB2015	T	Internal	t		173.688	173.827	RELATED	173.277	174.007	EY	173.507	173.688	AH	173.827	173.907	2.11	3.318		
Hermione_f34_BB2015	T	Internal	t		180.173	180.312	GENETICALLY	179.933	180.832	EH	180.132	180.173	IH	180.312	180.372	1.731	4.622		
Hermione_f34_BB2015	T	End	t		182.909	182.979	NOT	182.729	182.979	AA	182.819	182.909	AH	182.979	183.07	1.359	5.887		
Hermione_f34_BB2015	T	Internal	t		192.306	192.456	GENETICALLY	192.046	192.856	EH	192.256	192.306	IH	192.456	192.496	4.843	2.065		
Hermione_f34_BB2015	T	Internal	t		195.608	195.709	POTENTIALLY	195.499	196.168	AH	195.569	195.608	EH	195.709	195.788	4.697	1.916		
Hermione_f34_BB2015	T	Internal	t		210.29	210.381	LITTLE	210.19	210.45	IH	210.26	210.29	AH	210.381	210.411	1.311	7.628		
Hermione_f34_BB2015	T	Internal	f		217.339	217.37	PRETTY	217.23	217.42	IH	217.309	217.339	IY	217.37	217.42	1.152	6.076		
Hermione_f34_BB2015	T	End	g		220.711	220.741	THAT	220.601	220.741	AE	220.631	220.711	AH	220.741	220.771	1.385	5.054		
Hermione_f34_BB2015	T	End	f		244.645	244.675	IT	244.615	244.675	AH	244.615	244.645	IH	244.675	244.734	5.122	0.976		
Hermione_f34_BB2015	T	End	t		265.166	265.256	ESTATE	264.895	265.256	EY	265.076	265.166	EY	265.256	265.326	1.561	7.687		
Hermione_f34_BB2015	T	End	f		277.006	277.035	BUT	276.956	277.035	AH	276.976	277.006	AH	277.035	277.065	0.802	6.234		
Hermione_f34_BB2015	T	End	g		284.123	284.153	BUT	283.973	284.153	AH	284.093	284.123	AA	284.153	284.193	2.106	2.849		
Hermione_f34_BB2015	T	End	g		285.083	285.112	GOT	284.852	285.112	AA	284.942	285.083	AH	285.112	285.142	1.249	5.604		
Hermione_f34_BB2015	T	End	g		285.392	285.422	LOT	285.142	285.422	AA	285.212	285.392	AH	285.422	285.452	4.192	1.67		
Hermione_f34_BB2015	T	End	g		293.198	293.238	BUT	292.958	293.238	AH	293.008	293.198	IH	293.238	293.288	1.473	3.394		
Hermione_f34_BB2015	T	Internal	t		331.439	331.499	QUALITY	331.15	331.54	AH	331.39	331.439	IY	331.499	331.54	1.932	4.658		
Hermione_f34_BB2015	T	Internal	t		333.993	334.063	QUALITY	333.803	334.103	AH	333.963	333.993	IY	334.063	334.103	1.806	3.876		
Hermione_f34_BB2015	T	Internal	g		335.373	335.403	COTTON	335.182	335.482	AA	335.292	335.373	AH	335.403	335.432	1.525	3.279		
Hermione_f34_BB2015	T	Internal	t		340.344	340.453	QUALITY	340.044	340.504	AH	340.304	340.344	IY	340.453	340.504	1.392	4.31		
Hermione_f34_BB2015	T	End	g		376.105	376.135	THAT	375.995	376.135	AE	376.026	376.105	AH	376.135	376.165	1.769	6.218		
Hermione_f34_BB2015	T	End	f		408.411	408.441	BUT	408.29	408.441	AH	408.381	408.411	AY	408.441	408.51	1.68	4.762		
Hermione_f34_BB2015	T	End	g		411.444	411.494	GOT	411.234	411.494	AA	411.314	411.444	AY	411.494	411.644	1.074	5.587		
Hermione_f34_BB2015	T	End	t		413.096	413.237	ESTATE	412.856	413.237	EY	413.056	413.096	EY	413.237	413.336	1.75	4		
Hermione_f34_BB2015	T	End	g		437.676	437.706	OUT	437.526	437.706	AW	437.526	437.676	AH	437.706	437.776	2.041	2.45		
Hermione_f34_BB2015	T	End	g		464.076	464.106	THAT	463.995	464.106	AH	464.026	464.076	OW	464.106	464.186	0.78	7.692		
