File	Segment	Position	Code1	Code2	Seg_Start	Seg_End	Word	Word_Start	Word_End	Pre_Seg	Pre_Seg_Start	Pre_Seg_End	Post_Seg	Post_Seg_Start	Post_Seg_End	Window	Vowels_per_Second	Comments	Warnings
Lisa_f59_BB2015	T	End	g		6.093	6.122	NOT	5.913	6.122	AA	6.022	6.093	AH	6.122	6.152	1.739	3.450		
Lisa_f59_BB2015	T	End	g		10.083	10.112	NOT	9.902	10.112	AA	9.952	10.083	AH	10.112	10.142	1.370	5.109		
Lisa_f59_BB2015	T	End	f		21.752	21.782	WHAT	21.682	21.782	AH	21.712	21.752	IH	21.782	21.863	0.790	8.861		
Lisa_f59_BB2015	T	End	f		57.043	57.092	GOT	56.842	57.092	AA	56.912	57.043	AH	57.092	57.152	1.391	5.032		
Lisa_f59_BB2015	T	End	g		71.752	71.792	BUT	71.702	71.792	AH	71.722	71.752	EH	71.792	71.953	1.965	3.562		
Lisa_f59_BB2015	T	End	g		104.617	104.787	IT	104.478	104.787	IH	104.478	104.617	IH	104.787	104.907	1.831	3.823		
Lisa_f59_BB2015	T	End	f		107.832	107.863	BUT	107.733	107.863	AH	107.793	107.832	IH	107.863	107.913	2.174	2.300		
Lisa_f59_BB2015	T	End	g		108.172	108.202	NOT	108.043	108.202	AA	108.072	108.172	IH	108.202	108.262	1.309	5.348		
Lisa_f59_BB2015	T	End	g		108.783	108.912	IT	108.632	108.912	AH	108.632	108.783	AY	108.912	109.073	1.419	4.933		
Lisa_f59_BB2015	T	Internal	t		119.242	119.313	HOSPITAL	118.992	119.393	IH	119.212	119.242	AH	119.313	119.343	1.300	6.923		
Lisa_f59_BB2015	T	End	g		134.263	134.293	THAT	134.053	134.293	AE	134.093	134.263	IH	134.293	134.333	1.601	4.372		
Lisa_f59_BB2015	T	End	g		145.007	145.067	THAT	144.788	145.067	AE	144.838	145.007	AY	145.067	145.218	1.654	2.418		
Lisa_f59_BB2015	T	End	g		157.748	157.777	BUT	157.638	157.777	AH	157.678	157.748	AH	157.777	157.808	1.906	2.623		
Lisa_f59_BB2015	T	End	g		159.277	159.308	LOT	159.007	159.308	AA	159.078	159.277	AH	159.308	159.358	1.730	4.046		
Lisa_f59_BB2015	T	End	f		190.593	190.622	WHAT	190.482	190.622	AH	190.562	190.593	AH	190.622	190.652	1.439	5.559		
Lisa_f59_BB2015	T	End	g		211.217	211.608	GOT	211.048	211.608	AA	211.087	211.217	AH	211.608	211.637	1.409	3.549		
