File	Segment	Position	Code1	Code2	Seg_Start	Seg_End	Word	Word_Start	Word_End	Pre_Seg	Pre_Seg_Start	Pre_Seg_End	Post_Seg	Post_Seg_Start	Post_Seg_End	Window	Vowels_per_Second	Comments	Warnings
Shannon_f18_BB2015	T	End	g		4.983	5.013	QUITE	4.773	5.013	AY	4.913	4.983	AH	5.013	5.043	1.699	2.943		
Shannon_f18_BB2015	T	End	g		52.805	52.835	BUT	52.705	52.835	AH	52.735	52.805	AY	52.835	52.865	1.171	6.832		
Shannon_f18_BB2015	T	End	g		62.273	62.303	GOT	62.072	62.303	AA	62.143	62.273	AH	62.303	62.342	1.471	6.118		
Shannon_f18_BB2015	T	End	g		63.634	63.664	CORPORATE	63.135	63.664	AH	63.594	63.634	AH	63.664	63.784	1.862	3.222		
Shannon_f18_BB2015	T	Internal	t	b	486.822	486.931	AUTOMATICALLY	486.711	487.532	AO	486.711	486.822	AH	486.931	486.961	2.281	4.822		
Shannon_f18_BB2015	T	End	g		88.376	88.406	THAT	88.266	88.406	AE	88.296	88.376	AH	88.406	88.436	1.24	7.258		
Shannon_f18_BB2015	T	Internal	t	b	487.052	487.171	AUTOMATICALLY	486.711	487.532	AE	487.001	487.052	IH	487.171	487.251	2.281	4.822		
Shannon_f18_BB2015	T	End	g		112.96	112.99	GET	112.79	112.99	EH	112.869	112.96	IH	112.99	113.03	1.063	6.585		
Shannon_f18_BB2015	T	Internal	t	m	1092.03	1092.06	CITY	1091.869	1092.09	IH	1091.899	1092.03	IY	1092.06	1092.09	1.26	3.175		
Shannon_f18_BB2015	T	Internal	t	b	116.436	116.516	COMPETITIVE	116.176	116.736	EH	116.406	116.436	AH	116.516	116.597	1.834	5.453		
Shannon_f18_BB2015	T	End	g		122.693	122.732	BIT	122.643	122.732	IH	122.663	122.693	AW	122.732	122.972	0.707	7.072		
Shannon_f18_BB2015	T	End	g		122.972	123.012	OUT	122.732	123.012	AW	122.732	122.972	AH	123.012	123.042	0.749	8.011		
Shannon_f18_BB2015	T	End	g		147.234	147.264	GET	147.094	147.264	EH	147.144	147.234	IH	147.264	147.304	0.868	6.912		
Shannon_f18_BB2015	T	End	g		147.703	147.734	MIGHT	147.573	147.734	AY	147.623	147.703	AH	147.734	147.763	1.289	6.206		
Shannon_f18_BB2015	T	End	g		149.724	149.754	GET	149.634	149.754	EH	149.664	149.724	IH	149.754	149.784	1.12	7.143		
Shannon_f18_BB2015	T	End	g		153.95	153.98	GET	153.799	153.98	EH	153.859	153.95	AH	153.98	154.02	1.834	3.272		
Shannon_f18_BB2015	T	End	g		157.894	157.924	GET	157.795	157.924	EH	157.814	157.894	AH	157.924	157.955	0.62	8.065		
Shannon_f18_BB2015	T	End	g		187.983	188.013	GET	187.863	188.013	EH	187.893	187.983	AH	188.013	188.043	1.15	6.087		
Shannon_f18_BB2015	T	End	g		188.963	188.992	BUT	188.913	188.992	AH	188.933	188.963	IH	188.992	189.093	1.559	5.131		
Shannon_f18_BB2015	T	End	g		257.072	257.102	LOT	256.951	257.102	AA	257.042	257.072	AH	257.102	257.131	1.122	5.348		
Shannon_f18_BB2015	T	End	g		282.622	282.652	BUT	282.512	282.652	AH	282.552	282.622	AY	282.652	282.683	0.971	6.179		
Shannon_f18_BB2015	T	End	g		303.526	303.555	RIGHT	303.176	303.555	AY	303.206	303.526	OW	303.555	303.585	1.704	2.347		
Shannon_f18_BB2015	T	End	g		312.007	312.036	OUT	311.857	312.036	AW	311.857	312.007	AH	312.036	312.066	1.137	4.398		
Shannon_f18_BB2015	T	Internal	t	b	116.597	116.636	COMPETITIVE	116.176	116.736	AH	116.516	116.597	IH	116.636	116.676	1.834	5.453		
Shannon_f18_BB2015	T	End	g		394.352	394.382	RIGHT	394.221	394.382	AY	394.282	394.352	OW	394.382	394.462	4.585	0.872		
Shannon_f18_BB2015	T	End	g		448.537	448.597	BET	448.417	448.597	EH	448.456	448.537	IH	448.597	448.627	1.212	3.3		
Shannon_f18_BB2015	T	End	g		465.584	465.655	BUT	465.475	465.655	AH	465.534	465.584	AH	465.655	465.705	1.557	1.927		
Shannon_f18_BB2015	T	Internal	t	m	1222.452	1222.583	COTTAGES	1222.262	1222.903	AA	1222.403	1222.452	IH	1222.583	1222.613	2.411	3.733		
Shannon_f18_BB2015	T	Internal	g	b	85.885	85.916	GETTING	85.746	85.976	IH	85.766	85.885	IH	85.916	85.945	1.292	5.418		
Shannon_f18_BB2015	T	End	g		492.812	492.841	BUT	492.762	492.841	AH	492.782	492.812	AH	492.841	492.871	1.34	4.478		
Shannon_f18_BB2015	T	End	g		520.062	520.103	RIGHT	519.913	520.103	AY	519.953	520.062	OW	520.103	520.132	6.105	0.655		
Shannon_f18_BB2015	T	End	g		538.771	538.801	GOT	538.631	538.801	AA	538.711	538.771	AA	538.801	538.901	1.249	7.206		
Shannon_f18_BB2015	T	End	g		544.827	544.877	BIT	544.738	544.877	IH	544.777	544.827	AA	544.877	545.087	1.339	5.228		
Shannon_f18_BB2015	T	End	g		595.004	595.034	RIGHT	594.844	595.034	AY	594.873	595.004	OW	595.034	595.094	3.804	1.314		
Shannon_f18_BB2015	T	End	g		628.243	628.273	THOUGHT	628.082	628.273	AO	628.153	628.243	AY	628.273	628.333	0.829	6.031		
Shannon_f18_BB2015	T	End	g		633.65	633.68	BUT	633.561	633.68	AH	633.59	633.65	AY	633.68	633.71	1.679	4.765		
Shannon_f18_BB2015	T	End	g		635.441	635.481	IT	635.371	635.481	IH	635.371	635.441	AE	635.481	635.601	1.321	7.57		
Shannon_f18_BB2015	T	End	g		638.163	638.193	BUT	638.083	638.193	AH	638.123	638.163	AY	638.193	638.253	1.139	6.146		
