File	Segment	Position	Code1	Code2	Seg_Start	Seg_End	Word	Word_Start	Word_End	Pre_Seg	Pre_Seg_Start	Pre_Seg_End	Post_Seg	Post_Seg_Start	Post_Seg_End	Window	Vowels_per_Second	Comments	Warnings
TrudyC_f80_BB2015	T	Internal	t	b	304.534	304.674	ATHLETICS	304.274	304.873	EH	304.484	304.534	IH	304.674	304.704	2.615	3.824		
TrudyC_f80_BB2015	T	Internal	t	b	3101.099	3101.238	BATTY	3100.759	3101.448	AE	3100.948	3101.099	IY	3101.238	3101.448	1.619	1.235		
TrudyC_f80_BB2015	T	Internal	t	b	1502.884	1502.984	BEAUTIFUL	1502.613	1503.384	UW	1502.813	1502.884	AH	1502.984	1503.024	3.161	2.847		
TrudyC_f80_BB2015	T	Internal	t	b	2017.397	2017.527	BEAUTIFUL	2017.197	2017.857	UW	2017.337	2017.397	AH	2017.527	2017.576	2.15	2.791		
TrudyC_f80_BB2015	T	Internal	t	b	2056.784	2056.893	BEAUTIFUL	2056.384	2057.233	UW	2056.624	2056.784	AH	2056.893	2056.924	1.693	2.363		
TrudyC_f80_BB2015	T	Internal	t	m	1842.858	1843.008	BOTTOM	1842.748	1843.228	AA	1842.767	1842.858	AH	1843.008	1843.138	1.261	6.344		
TrudyC_f80_BB2015	T	Internal	t	m	2000.937	2001.086	BOTTOM	2000.787	2001.187	AA	2000.847	2000.937	AH	2001.086	2001.117	1.39	7.914		
TrudyC_f80_BB2015	T	Internal	t	m	2649.016	2649.217	BOTTOM	2648.856	2649.467	AA	2648.937	2649.016	AH	2649.217	2649.257	1.611	3.724		
TrudyC_f80_BB2015	T	Internal	t	b	959.37	959.531	BRITISH	959.211	959.711	IH	959.341	959.37	IH	959.531	959.561	1.991	4.52		
TrudyC_f80_BB2015	T	Internal	t	b	2682.975	2683.096	CELEBRITIES	2682.565	2683.366	AH	2682.935	2682.975	IY	2683.096	2683.156	2.071	4.346		
TrudyC_f80_BB2015	T	Internal	t	b	2703.112	2703.221	CELEBRITIES	2702.761	2703.551	AH	2703.051	2703.112	IY	2703.221	2703.281	2.02	4.455		
TrudyC_f80_BB2015	T	Internal	t	m	1207.871	1208.02	CITY	1207.651	1208.08	IH	1207.83	1207.871	IY	1208.02	1208.08	1.803	2.773		
TrudyC_f80_BB2015	T	Internal	t	m	1221.78	1221.921	CITY	1221.691	1221.951	IH	1221.731	1221.78	IY	1221.921	1221.951	1.717	2.912		
TrudyC_f80_BB2015	T	Internal	t	m	1597.973	1598.123	CITY	1597.793	1598.203	IH	1597.933	1597.973	IY	1598.123	1598.203	1.911	4.186		
TrudyC_f80_BB2015	T	Internal	g	m	2721.432	2721.462	CLAYTON	2721.192	2721.532	EY	2721.322	2721.432	AH	2721.462	2721.502	2	5.5		
TrudyC_f80_BB2015	T	Internal	t	b	1443.901	1444.072	DECORATING	1443.392	1444.161	EY	1443.751	1443.901	IH	1444.072	1444.101	3.144	2.226		
TrudyC_f80_BB2015	T	Internal	t	b	2142.785	2142.905	DEVOTED	2142.535	2142.956	OW	2142.665	2142.785	AH	2142.905	2142.935	1.991	4.018		
TrudyC_f80_BB2015	T	Internal	t	b	2141.716	2141.875	DOTED	2141.485	2142.095	OW	2141.536	2141.716	IH	2141.875	2142.015	2.52	2.381		
TrudyC_f80_BB2015	T	Internal	t	b	2500.597	2500.747	EATING	2500.437	2500.887	IY	2500.437	2500.597	IH	2500.747	2500.807	2.321	4.308		
TrudyC_f80_BB2015	T	Internal	t	b	1229.41	1229.55	EIGHTEEN	1229.15	1229.95	EY	1229.15	1229.41	IY	1229.55	1229.75	3.059	1.635		
TrudyC_f80_BB2015	T	Internal	t	b	1339.322	1339.482	EIGHTEEN	1339.102	1339.772	EY	1339.102	1339.322	IY	1339.482	1339.692	1.642	3.045		
TrudyC_f80_BB2015	T	Internal	t	b	2406.357	2406.577	EIGHTY	2406.097	2406.627	EY	2406.097	2406.357	IY	2406.577	2406.627	1.447	3.455		
TrudyC_f80_BB2015	T	Internal	t	b	3009.355	3009.475	EIGHTY	3009.085	3009.506	EY	3009.085	3009.355	IY	3009.475	3009.506	2.26	2.655		
TrudyC_f80_BB2015	T	Internal	t	b	92.512	92.612	FABRICATED	91.963	92.732	EY	92.352	92.512	AH	92.612	92.653	2.155	3.712		
TrudyC_f80_BB2015	T	Internal	t	b	1079.86	1080.03	FASCINATING	1079.36	1080.12	EY	1079.721	1079.86	IH	1080.03	1080.07	1.731	5.199		
TrudyC_f80_BB2015	T	Internal	t	b	706.91	707.06	FIGHTING	706.66	707.16	AY	706.769	706.91	IH	707.06	707.1	1.93	4.145		
TrudyC_f80_BB2015	T	Internal	g	b	1685.154	1685.184	FRIGHTENED	1684.894	1685.313	AY	1684.963	1685.154	AH	1685.184	1685.223	1.479	4.733		
TrudyC_f80_BB2015	T	Internal	g	b	1688.17	1688.2	FRIGHTENED	1687.989	1688.279	AY	1688.07	1688.17	AH	1688.2	1688.23	1.206	4.975		
TrudyC_f80_BB2015	T	Internal	f	b	2529.31	2529.35	GETTING	2529.21	2529.48	EH	2529.23	2529.31	IH	2529.35	2529.42	1.69	5.325		
TrudyC_f80_BB2015	T	Internal	t	b	1675.949	1676.09	GRAVITY	1675.629	1676.17	AH	1675.92	1675.949	IY	1676.09	1676.17	2.36	4.661		
TrudyC_f80_BB2015	T	Internal	t	m	381.53	381.69	ITALY	381.44	382.03	IH	381.44	381.53	AH	381.69	381.74	2.14	3.271		
TrudyC_f80_BB2015	T	Internal	t	m	839.413	839.573	ITALY	839.333	839.803	IH	839.333	839.413	AH	839.573	839.623	1.901	5.26		
TrudyC_f80_BB2015	T	Internal	t	m	840.923	841.053	ITALY	840.853	841.213	IH	840.853	840.923	AH	841.053	841.103	1.585	3.785		
TrudyC_f80_BB2015	T	Internal	t	b	1507.214	1507.355	KNITTING	1507.115	1507.464	IH	1507.154	1507.214	IH	1507.355	1507.404	1.961	4.08		
TrudyC_f80_BB2015	T	Internal	t		118.683	118.854	LAVATORIES	118.254	119.233	AH	118.643	118.683	AO	118.854	118.883	2.035	2.457	?	
TrudyC_f80_BB2015	T	Internal	t		120.474	120.604	LAVATORIES	120.144	120.914	AH	120.404	120.474	AO	120.604	120.634	2.13	3.286	?	
TrudyC_f80_BB2015	T	Internal	t		1744.744	1744.874	LAVATORIES	1744.524	1745.024	AH	1744.705	1744.744	AO	1744.874	1744.904	2.069	4.35	?	
TrudyC_f80_BB2015	T	Internal	t		1666.346	1666.516	LAVATORY	1666.027	1666.817	AH	1666.316	1666.346	AO	1666.516	1666.546	2.001	2.999	?	
TrudyC_f80_BB2015	T	Internal	f?	m	52.212	52.392	LITTLE	52.122	52.453	IH	52.182	52.212	AH	52.392	52.422	1.351	6.662		
TrudyC_f80_BB2015	T	Internal	f?	m	111.348	111.438	LITTLE	111.238	111.497	IH	111.297	111.348	AH	111.438	111.468	1.819	4.398		
TrudyC_f80_BB2015	T	Internal	f?	m	112.047	112.158	LITTLE	111.988	112.247	IH	112.018	112.047	AH	112.158	112.207	1.559	5.131		
TrudyC_f80_BB2015	T	Internal	f?	m	153.868	153.988	LITTLE	153.758	154.049	IH	153.829	153.868	AH	153.988	154.019	2.081	3.844		
TrudyC_f80_BB2015	T	Internal	f?	m	358.079	358.189	LITTLE	358.02	358.28	IH	358.05	358.079	AH	358.189	358.25	2.24	4.911		
TrudyC_f80_BB2015	T	Internal	f?	m	558.389	558.519	LITTLE	558.299	558.589	IH	558.349	558.389	AH	558.519	558.549	1.57	7.006		
TrudyC_f80_BB2015	T	Internal	f?	m	618.968	619.117	LITTLE	618.828	619.217	IH	618.918	618.968	AH	619.117	619.167	1.964	3.564		
TrudyC_f80_BB2015	T	Internal	f?	m	636.001	636.151	LITTLE	635.871	636.331	IH	635.96	636.001	AH	636.151	636.191	1.192	4.195		
TrudyC_f80_BB2015	T	Internal	f?	m	732.057	732.217	LITTLE	731.927	732.377	IH	732.017	732.057	AH	732.217	732.267	1.923	3.64		
TrudyC_f80_BB2015	T	Internal	f?	m	875.724	875.844	LITTLE	875.654	875.904	IH	875.694	875.724	AH	875.844	875.874	2.13	5.164		
TrudyC_f80_BB2015	T	Internal	f?	m	918.742	918.852	LITTLE	918.673	918.913	IH	918.712	918.742	AH	918.852	918.883	2.031	3.939		
TrudyC_f80_BB2015	T	Internal	f?	m	1173.106	1173.166	LITTLE	1173.006	1173.296	IH	1173.066	1173.106	AH	1173.166	1173.206	1.737	2.879		
TrudyC_f80_BB2015	T	Internal	f?	m	1181.507	1181.637	LITTLE	1181.446	1181.726	IH	1181.477	1181.507	AH	1181.637	1181.676	1.42	4.93		
