File	Segment	Position	Code1	Code2	Seg_Start	Seg_End	Word	Word_Start	Word_End	Pre_Seg	Pre_Seg_Start	Pre_Seg_End	Post_Seg	Post_Seg_Start	Post_Seg_End	Window	Vowels_per_Second	Comments	Warnings
VanessaB_f45_BB2015	T	Internal	d	b	2662.8	2662.83	((WHATEVER'S))	2662.62	2663.289	AH	2662.77	2662.8	EH	2662.83	2662.93	2.549	2.354		
VanessaB_f45_BB2015	T	End	t		47.151	47.421	ABOUT	46.951	47.421	AW	47.011	47.151	AH	47.421	47.451	1.647	4.25		
VanessaB_f45_BB2015	T	Internal	t	b	593.276	593.417	ACTIVITIES	592.947	593.576	AH	593.226	593.276	IY	593.417	593.447	2.581	5.037		
VanessaB_f45_BB2015	T	Internal	t	b	596.656	596.745	ACTIVITIES	596.226	596.875	AH	596.585	596.656	IY	596.745	596.786	1.848	4.329		
VanessaB_f45_BB2015	T	End	g		97.92	97.959	PUT	97.809	97.959	UH	97.89	97.92	AH	97.959	97.989	1.09	5.505		
VanessaB_f45_BB2015	T	End	g		112.179	112.209	PUT	112.058	112.209	UH	112.149	112.179	AH	112.209	112.319	1.588	3.149		
VanessaB_f45_BB2015	T	Internal	t	b	375.062	375.192	ANTIBIOTICS	374.633	375.453	AA	375.012	375.062	IH	375.192	375.292	1.651	5.451		
VanessaB_f45_BB2015	T	Internal	t	b	1589.164	1589.204	AUTOMATIC	1589.134	1589.744	AO	1589.134	1589.164	OW	1589.204	1589.264	1.799	3.891		
VanessaB_f45_BB2015	T	Internal	t	b	1589.325	1589.384	AUTOMATIC	1589.134	1589.744	AE	1589.294	1589.325	IH	1589.384	1589.414	1.799	3.891		
VanessaB_f45_BB2015	T	End	t		131.663	131.743	OUT	131.523	131.743	AW	131.523	131.663	AH	131.743	131.803	1.459	4.112		
VanessaB_f45_BB2015	T	Internal	t	b	2764.355	2764.555	BATTY	2764.266	2764.765	AE	2764.295	2764.355	IY	2764.555	2764.765	2.984	1.34		
