File	Segment	Position	Code1	Code2	Seg_Start	Seg_End	Word	Word_Start	Word_End	Pre_Seg	Pre_Seg_Start	Pre_Seg_End	Post_Seg	Post_Seg_Start	Post_Seg_End	Window	Vowels_per_Second	Comments	Warnings
WillowA20_f_bb_mono	T	Internal	t	b	1214.899	1214.938	ATHLETICS	1214.599	1215.028	EH	1214.798	1214.899	IH	1214.938	1214.968	1.922	3.642		
WillowA20_f_bb_mono	T	Internal	t	b	2698.221	2698.391	BATTY	2698.021	2698.65	AE	2698.071	2698.221	IY	2698.391	2698.65	2.758	1.45		
WillowA20_f_bb_mono	T	Internal	t	b	2000.063	2000.174	BITTEN	1999.984	2000.384	IH	2000.024	2000.063	AH	2000.174	2000.254	2.21	2.715		
WillowA20_f_bb_mono	T	Internal	g	m	1623.184	1623.214	BOTTLEMEN	1623.053	1623.504	AA	1623.074	1623.184	AH	1623.214	1623.244	1.637	4.887		
WillowA20_f_bb_mono	T	Internal	g	m	846.265	846.295	BOTTOM	846.096	846.356	AA	846.146	846.265	AH	846.295	846.326	1.15	6.957		
WillowA20_f_bb_mono	T	Internal	g	m	2373.141	2373.171	BOTTOM	2372.931	2373.242	AA	2372.952	2373.141	AH	2373.171	2373.202	1.09	5.505		
WillowA20_f_bb_mono	T	Internal	t	m	87.329	87.449	CITIES	87.229	87.598	IH	87.289	87.329	IY	87.449	87.499	6.473	0.618		
WillowA20_f_bb_mono	T	Internal	t	m	104.481	104.601	CITY	104.272	104.762	IH	104.411	104.481	IY	104.601	104.762	2.181	3.21		
WillowA20_f_bb_mono	T	Internal	t	m	108.771	108.901	CITY	108.621	109.001	IH	108.722	108.771	IY	108.901	109.001	1.457	4.804		
WillowA20_f_bb_mono	T	Internal	t	m	2705.397	2705.567	CITY	2705.167	2705.796	IH	2705.337	2705.397	IY	2705.567	2705.796	2.071	1.931		
WillowA20_f_bb_mono	T	Internal	t	b	69.909	70.108	COMMUNITY	69.629	70.168	AH	69.879	69.909	IY	70.108	70.168	1.717	4.077		
WillowA20_f_bb_mono	T	Internal	t	b	2096.166	2096.277	CREATIVE	2095.856	2096.356	EY	2096.046	2096.166	IH	2096.277	2096.326	1.667	5.399		
WillowA20_f_bb_mono	T	Internal	t	b	624.018	624.109	EIGHTEEN	623.808	624.238	EY	623.808	624.018	IY	624.109	624.198	1.219	6.563		
WillowA20_f_bb_mono	T	Internal	t	b	1841.397	1841.507	EIGHTEEN	1841.238	1841.777	EY	1841.238	1841.397	IY	1841.507	1841.687	1.494	4.016		
WillowA20_f_bb_mono	T	Internal	t	b	1846.904	1846.983	EIGHTEEN	1846.743	1847.174	EY	1846.743	1846.904	IY	1846.983	1847.093	1.781	5.615		
WillowA20_f_bb_mono	T	Internal	g	b	759.251	759.282	EXCITED	758.882	759.351	AY	759.061	759.251	AH	759.282	759.311	1.377	6.536		
WillowA20_f_bb_mono	T	Internal	g	b	1366.992	1367.031	EXCITED	1366.682	1367.161	AY	1366.821	1366.992	AH	1367.031	1367.122	1.378	5.08		
WillowA20_f_bb_mono	T	Internal	g	b	1441.22	1441.25	EXCITING	1440.83	1441.331	AY	1441.02	1441.22	IH	1441.25	1441.28	1.629	5.525		
WillowA20_f_bb_mono	T	Internal	t	b	2996.749	2996.829	EXCITING	2996.35	2996.97	AY	2996.559	2996.749	IH	2996.829	2996.869	2.203	3.631		
WillowA20_f_bb_mono	T	Internal	t	b	352.968	353.048	FIGHTING	352.658	353.148	AY	352.778	352.968	IH	353.048	353.118	1.89	4.233		
WillowA20_f_bb_mono	T	Internal	g	b	1567.943	1567.973	FIGHTING	1567.622	1568.103	AY	1567.752	1567.943	IH	1567.973	1568.043	1.651	6.057		
WillowA20_f_bb_mono	T	Internal	t	b	2881.702	2881.832	FIGHTING	2881.382	2882.103	AY	2881.482	2881.702	IH	2881.832	2881.952	2.009	3.484		
